Cidades;Estado;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;Taxa_de_desocupacao_18_anos_ou_mais;Taxa_de_analfabetismo_18_anos_ou_mais;Taxa_de_atividade_18_anos_ou_mais;Rendimento_medio_ocupados_18_anos_ou_mais;Lat;Long;Dengue;Febre Amarela;Saneamento
Melgaco;PA;0,418;0,454;0,776;0,207;14,07;39,7;59,72;645,82;NA;NA;0;0;0
FernandoFalcao;MA;0,443;0,417;0,728;0,286;10,52;41,64;54,26;699,04;-6,163299;-44,870694;0;0;0
AtalaiadoNorte;AM;0,45;0,481;0,733;0,259;8,06;37,39;61,2;689,49;-4,370551;-70,1967;0;0;0
MarajadoSena;MA;0,452;0,4;0,774;0,299;13,89;43,53;47,82;670,43;-4,628062;-45,453116;0;0;0
Chaves;PA;0,453;0,516;0,769;0,234;7,22;28,92;56,21;674,54;-0,164154;-49,987006;0;0;0
Uiramuta;RR;0,453;0,439;0,766;0,276;1,64;31,63;60,07;1034,06;NA;NA;0;0;0
Jordao;AC;0,469;0,499;0,731;0,283;5,79;29,87;55,4;950,26;-9,4338167;-71,8843997;0;0;0
Bagre;PA;0,471;0,481;0,777;0,28;10,13;26,08;61,34;615,69;-1,900565;-50,19869;0;1;0
CachoeiradoPiria;PA;0,473;0,449;0,779;0,303;5,02;30,96;53,91;604,57;-1,759738;-46,54593;0;0;0
Itamarati;AM;0,477;0,529;0,772;0,266;6,74;40,71;42,67;641,24;NA;NA;0;0;0
SantaIsabeldoRioNegro;AM;0,479;0,461;0,737;0,323;6,24;33,43;47,53;727,01;-0,410824;-65,009205;0;0;0
Ipixuna;AM;0,481;0,476;0,772;0,302;5,39;40,62;52,81;399,22;NA;NA;0;0;0
Portel;PA;0,483;0,513;0,767;0,286;8,56;32,68;59,45;749,89;-1,936388;-50,81942;0;0;0
Amajari;RR;0,484;0,437;0,815;0,319;20,96;39,65;36,96;777,76;-9,225936;-37,750871;0;0;0
Anajas;PA;0,484;0,506;0,774;0,29;6,95;36,1;57,8;499,12;-0,996811;-49,9354;0;0;0
Inhapi;AL;0,484;0,501;0,718;0,316;3,66;43,74;49,1;1389,79;NA;NA;0;0;0
SaoFranciscodeAssisdoPiaui;PI;0,485;0,462;0,734;0,336;2,76;41,71;62,54;440,14;-8,239207;-41,681028;0;0;0
Itapicuru;BA;0,486;0,505;0,711;0,319;9,86;41,92;63,76;782,25;-11,308836;-38,226229;0;0;0
Manari;PE;0,487;0,477;0,682;0,354;5,27;43,54;78,21;905,78;-8,964901;-37,631298;0;0;1
Caxingo;PI;0,488;0,498;0,708;0,329;4,8;47,64;52,29;678,5;-3,419044;-41,895476;0;0;0
Afua;PA;0,489;0,485;0,774;0,311;12,24;31,73;54,45;652,48;-0,154874;-50,38613;0;1;0
BetaniadoPiaui;PI;0,489;0,486;0,702;0,342;4,08;41,74;70,98;679,13;-2,5592139;-47,4965462;0;0;0
IpixunadoPara;PA;0,489;0,508;0,757;0,304;10,99;24,57;45,28;271,85;-8,143761;-40,79891;0;0;0
JenipapodosVieiras;MA;0,49;0,445;0,766;0,346;4,41;36,92;52,03;566,4;NA;NA;0;0;0
SantoAntoniodoIca;AM;0,49;0,438;0,759;0,353;7,04;23,18;50,08;815,56;-5,362375;-45,635607;0;0;0
Olivenca;AL;0,493;0,513;0,677;0,345;6,48;40,11;54,74;609,03;NA;NA;0;0;0
Satubinha;MA;0,493;0,45;0,72;0,369;2,02;33,21;53,34;583,2;-3,845304;-45,265518;0;0;0
Pauini;AM;0,496;0,531;0,724;0,317;10,44;30,96;62,43;728,32;-7,7122214;-66,9998441;0;0;0
Cocal;PI;0,497;0,516;0,712;0,334;5,69;38,81;57,96;516;-3,472792;-41,554623;0;0;0
CocaldosAlves;PI;0,498;0,504;0,779;0,315;3,1;39,22;45,27;511,82;-1,853129;-65,572995;0;0;0
Maraa;AM;0,498;0,466;0,763;0,348;16,36;19,38;52,34;366,39;-3,620471;-41,440197;0;0;1
AssuncaodoPiaui;PI;0,499;0,462;0,706;0,382;26,04;41,85;32,84;583,82;-5,864996;-41,038851;0;0;0
aguaDocedoMaranhao;MA;0,5;0,494;0,697;0,363;7,15;39,1;37,09;444,59;NA;NA;0;0;0
Barcelos;AM;0,5;0,545;0,728;0,315;18,92;35,24;45,61;492,6;-2,840479;-42,118903;0;1;0
Recursolandia;TO;0,5;0,49;0,738;0,345;3,08;29,54;36,72;600,72;-8,7227;-47,242107;0;0;0
MarechalThaumaturgo;AC;0,501;0,479;0,726;0,361;4,99;38,36;68,08;591,68;-8,9407511;-72,79151;0;0;0
TamborildoPiaui;PI;0,501;0,509;0,685;0,36;5,79;39,87;64,78;678,13;-8,409369;-42,921107;0;0;0
Curralinho;PA;0,502;0,508;0,769;0,323;6,08;23,32;62,35;295,23;-5,6232283;-63,1879157;0;0;0
LagoadoBarrodoPiaui;PI;0,502;0,474;0,744;0,358;8,67;30,45;29,87;241,8;-4,42526;-44,931473;0;0;0
LagoaGrandedoMaranhao;MA;0,502;0,48;0,731;0,36;5,89;38,68;54,58;577,5;-1,811793;-49,795227;0;0;0
NovaEsperancadoPiria;PA;0,502;0,482;0,757;0,346;2,25;28,61;56,1;306,02;-2,266925;-46,97315;0;0;0
Tapaua;AM;0,502;0,512;0,694;0,355;5,08;33,62;68,66;375,76;-8,476734;-41,5342;0;0;0
Breves;PA;0,503;0,524;0,778;0,312;8,53;26,91;60,64;270,68;NA;NA;0;1;0
OlhoD'aguaGrande;AL;0,503;0,473;0,673;0,399;1,67;45,53;58,96;570,26;-1,68036;-50,479085;0;0;0
PortodeMoz;PA;0,503;0,512;0,77;0,322;5,08;23,23;64,41;603,74;-1,746906;-52,236071;0;0;1
VeraMendes;PI;0,503;0,494;0,685;0,375;5,4;46,82;59,46;653,45;-7,597481;-41,467336;0;0;0
JocaMarques;PI;0,504;0,501;0,726;0,353;1,42;42,25;40,51;289,77;-9,118243;-37,732298;0;0;0
MataGrande;AL;0,504;0,506;0,685;0,369;1,57;42,12;58,21;648,43;-3,480399;-42,425517;0;0;1
CaraubasdoPiaui;PI;0,505;0,48;0,775;0,347;2,94;47,43;32,66;291,88;-9,835029;-35,978247;0;0;0
Jacareacanga;PA;0,505;0,577;0,8;0,279;6,26;29,01;56,64;173,6;-6,224526;-57,7559535;0;0;0
Roteiro;AL;0,505;0,524;0,672;0,365;14,3;41,22;48,39;265,06;-3,475249;-41,842517;0;0;0
Acara;PA;0,506;0,517;0,757;0,332;7,11;22,85;65,13;490,15;-9,119319;-37,5967;0;1;0
Beruri;AM;0,506;0,512;0,731;0,346;5,9;27,95;60,01;494,79;-3,898736;-61,36162;0;0;0
Canapi;AL;0,506;0,504;0,719;0,357;4,1;44,16;57,19;260,88;-10,437413;-39,332077;0;0;0
MonteSanto;BA;0,506;0,515;0,699;0,359;4,55;38,64;56,32;522,78;-10,0004862;-42,4797105;0;0;0
